CCLE_name	Chromosome	Start	End	Num_Probes	Segment_Mean
A375_SKIN	2	89275097	89500818	66	1.0204
A375_SKIN	2	89500819	95338097	323	0.2466
A375_SKIN	2	95338098	108443852	7491	-0.3536
A375_SKIN	2	108443853	108486497	2	2.5154
A375_SKIN	2	108486498	129638278	12461	-0.3654
A375_SKIN	2	129638279	129640322	14	-2.613
A375_SKIN	2	129640323	154162566	14934	-0.3381
A375_SKIN	2	154162567	154301707	88	0.1104
A375_SKIN	2	154301708	168336891	8186	-0.323
A375_SKIN	2	168336892	172582124	2789	-1.2677
A375_SKIN	2	172582125	184084803	7349	-0.3201
A375_SKIN	2	184084804	184091861	10	-1.3444
A375_SKIN	2	184091862	189575736	3079	-0.3019
A375_SKIN	2	189575737	189579934	9	0.5387
A375_SKIN	2	189579935	203296947	7870	-0.3184
A375_SKIN	2	203296948	203312841	35	0.159
A375_SKIN	2	203312842	237542824	21973	-0.3369
A375_SKIN	2	237542825	237793574	184	-1.3763
A375_SKIN	2	237793575	243089456	3128	-0.3852
A375_SKIN	3	60345	2968849	2556	0.1235
A375_SKIN	3	2968850	2974060	5	-1.5136
A375_SKIN	3	2974061	5535237	2301	0.1171
A375_SKIN	3	5535238	5539351	2	-1.4703
A375_SKIN	3	5539352	12223026	5283	0.1632
A375_SKIN	3	12223027	12504399	181	-0.3538
A375_SKIN	3	12504400	12698506	245	0.1585
A375_SKIN	3	12698507	12701488	7	0.8693
A375_SKIN	3	12701489	20314123	4735	0.1477
A375_SKIN	3	20314124	20322082	2	-2.0459
A375_SKIN	3	20322083	26611658	4756	0.162
A375_SKIN	3	26611659	26611891	4	-1.1379
A375_SKIN	3	26611892	26614975	9	0.311
A375_SKIN	3	26614976	26614983	5	-1.1498
A375_SKIN	3	26614984	41730922	10155	0.1766
A375_SKIN	3	41730923	41734013	2	-1.7796
A375_SKIN	3	41734014	46797597	3023	0.1413
A375_SKIN	3	46797598	46854534	40	0.9832
A375_SKIN	3	46854535	60479513	7987	0.1398
A375_SKIN	3	60479514	60570944	113	-0.4264
A375_SKIN	3	60570945	67174995	5406	0.1901
A375_SKIN	3	67174996	67177096	2	-1.788
A375_SKIN	3	67177097	68746211	1063	0.1501
A375_SKIN	3	68746212	68748772	15	1.0634
A375_SKIN	3	68748773	68749145	5	0.1199
A375_SKIN	3	68749146	68750150	7	0.6555
A375_SKIN	3	68750151	68892881	99	0.1239
A375_SKIN	3	68892882	68896099	2	-1.7629
A375_SKIN	3	68896100	75570549	4826	0.1757
A375_SKIN	3	75570550	75590993	6	-1.6473
A375_SKIN	3	75590994	83189038	4291	0.1692
A375_SKIN	3	83189039	83248075	22	-0.4034
A375_SKIN	3	83248076	97904044	6100	0.1964
A375_SKIN	3	97904045	97914121	3	2.262
A375_SKIN	3	97914122	116815718	11633	0.1868
A375_SKIN	3	116815719	116878701	56	-0.3299
A375_SKIN	3	116878702	162508230	28054	0.1621
A375_SKIN	3	162508231	162626587	72	0.9087
A375_SKIN	3	162626588	163080516	281	0.2325
A375_SKIN	3	163080517	165486557	1353	-0.3276
A375_SKIN	3	165486558	165763239	153	-1.1996
A375_SKIN	3	165763240	174945048	5729	-0.3461
A375_SKIN	3	174945049	174946413	11	0.366
A375_SKIN	3	174946414	185796567	6381	-0.3382
A375_SKIN	3	185796568	185798629	3	-2.3838
A375_SKIN	3	185798630	186406034	542	-0.3955
A375_SKIN	3	186406035	186409499	2	1.7727
A375_SKIN	3	186409500	192876324	4741	-0.3466
A375_SKIN	3	192876325	192884669	20	0.3194
A375_SKIN	3	192884670	197848651	2695	-0.3582
A375_SKIN	3	197848652	197896118	12	0.1659
A375_SKIN	4	12281	34994	20	-0.0925
A375_SKIN	4	34995	66348	37	-0.493
A375_SKIN	4	66349	2380314	863	0.1301
A375_SKIN	4	2380315	2758744	171	-0.4653
A375_SKIN	4	2758745	4135165	617	0.108
A375_SKIN	4	4135166	4156411	3	-1.118
A375_SKIN	4	4156412	4459255	230	0.0744
A375_SKIN	4	4459256	4484208	18	-0.5226
A375_SKIN	4	4484209	10212275	3843	0.1098
A375_SKIN	4	10212276	10232856	29	-2.3966
A375_SKIN	4	10232857	10235705	7	-0.6754
A375_SKIN	4	10235706	15239905	4020	0.1578
A375_SKIN	4	15239906	15243238	2	-2.4642
A375_SKIN	4	15243239	27679628	8586	0.1796
A375_SKIN	4	27679629	27681090	2	-1.6581
A375_SKIN	4	27681091	43146456	9962	0.156
A375_SKIN	4	43146457	43147837	3	-1.8578
A375_SKIN	4	43147838	45005803	1107	0.1492
A375_SKIN	4	45005804	45008652	4	-2.0088
A375_SKIN	4	45008653	62391471	8695	0.1658
A375_SKIN	4	62391472	64707679	1272	-0.3549
A375_SKIN	4	64707680	64712344	6	-2.6829
A375_SKIN	4	64712345	69286364	2864	-0.3245
A375_SKIN	4	69286365	69291470	3	-2.2329
A375_SKIN	4	69291471	69375057	18	-0.4817
A375_SKIN	4	69375058	69487657	63	-1.4723
A375_SKIN	4	69487658	70120796	322	-0.3736
A375_SKIN	4	70120797	70229393	56	0.1399
A375_SKIN	4	70229394	70389788	114	-0.3354
A375_SKIN	4	70389789	70391333	2	-2.5483
A375_SKIN	4	70391334	75948416	3279	-0.3431
A375_SKIN	4	75948417	88864947	8243	-0.6536
A375_SKIN	4	88864948	88979550	106	0.3086
A375_SKIN	4	88979551	91823313	1668	-0.598
A375_SKIN	4	91823314	91839473	2	-2.3739
A375_SKIN	4	91839474	93620630	1000	-0.3909
A375_SKIN	4	93620631	93890025	121	-0.6669
A375_SKIN	4	93890026	108066835	8388	-0.3339
A375_SKIN	4	108066836	108072697	11	0.5805
A375_SKIN	4	108072698	108276393	164	-0.3121
A375_SKIN	4	108276394	108279918	2	1.2472
A375_SKIN	4	108279919	113936017	3359	-0.3307
A375_SKIN	4	113936018	113938273	2	-3.2813
A375_SKIN	4	113938274	115174511	905	-0.1926
A375_SKIN	4	115174512	115183202	23	0.7001
A375_SKIN	4	115183203	115251623	61	-0.0324
A375_SKIN	4	115251624	116174261	562	-0.3181
A375_SKIN	4	116174262	116182652	19	0.1949
A375_SKIN	4	116182653	125459878	5475	-0.3046
A375_SKIN	4	125459879	125462980	3	-1.9527
A375_SKIN	4	125462981	151876338	15569	-0.3222
A375_SKIN	4	151876339	151884308	24	0.5029
A375_SKIN	4	151884309	152791645	456	-0.3948
A375_SKIN	4	152791646	152792729	10	-3.2264
A375_SKIN	4	152792730	152795123	4	0.2499
A375_SKIN	4	152795124	152949523	158	-0.4081
A375_SKIN	4	152949524	152964368	8	-0.013
A375_SKIN	4	152964369	152968363	3	-1.8834
A375_SKIN	4	152968364	156878220	2532	-0.3574
A375_SKIN	4	156878221	156879458	5	0.9157
A375_SKIN	4	156879459	161880392	3174	-0.3371
A375_SKIN	4	161880393	161886447	28	0.1438
A375_SKIN	4	161886448	161904311	10	-0.529
A375_SKIN	4	161904312	161912692	3	-2.2875
A375_SKIN	4	161912693	162477133	414	-0.3208
A375_SKIN	4	162477134	162480680	2	-2.0469
A375_SKIN	4	162480681	175105440	7851	-0.3456
A375_SKIN	4	175105441	175160983	22	-3.1239
A375_SKIN	4	175160984	176604885	809	-0.3516
A375_SKIN	4	176604886	176609445	2	-2.2446
A375_SKIN	4	176609446	176742945	83	-0.2914
A375_SKIN	4	176742946	178998588	1539	0.2069
A375_SKIN	4	178998589	179000987	2	-2.5018
A375_SKIN	4	179000988	190192080	8099	0.1957
A375_SKIN	4	190192081	190205521	5	-1.8074
A375_SKIN	4	190205522	191027923	383	0.1506
A375_SKIN	5	15532	692059	307	0.1684
A375_SKIN	5	692060	801205	36	-0.4473
A375_SKIN	5	801206	12138135	9539	0.1355
A375_SKIN	5	12138136	12796304	349	-0.3957
A375_SKIN	5	12796305	12822243	10	-2.3048
A375_SKIN	5	12822244	14010835	742	-0.4033
A375_SKIN	5	14010836	15718857	1240	0.1716
A375_SKIN	5	15718858	15721971	11	-1.1575
A375_SKIN	5	15721972	20836001	3209	0.1736
A375_SKIN	5	20836002	21042009	102	-0.3057
A375_SKIN	5	21042010	21377341	197	0.1623
A375_SKIN	5	21377342	21381959	2	2.721
A375_SKIN	5	21381960	29265359	4640	0.1821
A375_SKIN	5	29265360	29361090	50	0.5703
A375_SKIN	5	29361091	39808793	7088	0.1655
A375_SKIN	5	39808794	39808977	2	-2.5364
A375_SKIN	5	39808978	79739484	21683	0.1831
A375_SKIN	5	79739485	79747399	3	-1.1673
A375_SKIN	5	79747400	117387519	23044	0.176
A375_SKIN	5	117387520	117396712	11	-2.1763
A375_SKIN	5	117396713	143405567	15906	0.1382
A375_SKIN	5	143405568	143410521	5	-3.06
A375_SKIN	5	143410522	150200721	4512	0.1725
A375_SKIN	5	150200722	150218017	8	1.0213
A375_SKIN	5	150218018	151409168	859	0.1277
A375_SKIN	5	151409169	151810774	330	0.4436
A375_SKIN	5	151810775	163295908	7721	0.1301
A375_SKIN	5	163295909	163298128	2	-2.11
A375_SKIN	5	163298129	177388194	9603	0.1411
A375_SKIN	5	177388195	177405610	11	-1.3831
A375_SKIN	5	177405611	180790320	1971	0.0842
A375_SKIN	6	149661	51148731	34728	-0.3819
A375_SKIN	6	51148732	51529247	292	0.2397
A375_SKIN	6	51529248	53177535	1170	-0.363
A375_SKIN	6	53177536	53519376	248	0.1829
A375_SKIN	6	53519377	53561332	24	-0.279
A375_SKIN	6	53561333	53562359	3	-1.5524
A375_SKIN	6	53562360	53887863	259	-0.2961
A375_SKIN	6	53887864	53956052	64	0.1403
A375_SKIN	6	53956053	54881127	604	-0.3362
A375_SKIN	6	54881128	54989170	48	0.1952
A375_SKIN	6	54989171	56508418	974	-0.3381
A375_SKIN	6	56508419	56564203	27	0.2528
A375_SKIN	6	56564204	57290781	339	-0.3126
A375_SKIN	6	57290782	58141261	319	0.0965
A375_SKIN	6	58141262	58421138	89	-0.2864
A375_SKIN	6	58421139	58429821	6	-1.2072
A375_SKIN	6	58429822	58488517	29	-0.3718
A375_SKIN	6	58488518	63437592	918	0.1596
A375_SKIN	6	63437593	63599300	63	-0.3715
A375_SKIN	6	63599301	64675204	558	0.118
A375_SKIN	6	64675205	64724642	34	-0.3472
A375_SKIN	6	64724643	65150944	211	0.1407
A375_SKIN	6	65150945	65204005	26	-0.3595
A375_SKIN	6	65204006	67612256	1695	0.1791
A375_SKIN	6	67612257	68295965	520	0.5428
A375_SKIN	6	68295966	68330772	34	0.1176
A375_SKIN	6	68330773	69455165	693	0.5266
A375_SKIN	6	69455166	69535626	67	-0.3615
A375_SKIN	6	69535627	69542087	9	0.4263
A375_SKIN	6	69542088	74591829	3240	-0.337
A375_SKIN	6	74591830	74599375	10	-1.2559
A375_SKIN	6	74599376	77436345	1771	-0.3562
A375_SKIN	6	77436346	77456915	22	-0.8676
A375_SKIN	6	77456916	78962266	974	-0.3536
A375_SKIN	6	78962267	79040433	119	-0.8528
A375_SKIN	6	79040434	83568520	2927	-0.3085
A375_SKIN	6	83568521	83624732	47	-1.1364
A375_SKIN	6	83624733	96994400	8409	-0.3405
A375_SKIN	6	96994401	97012403	9	-1.4767
A375_SKIN	6	97012404	101216314	2604	-0.3182
A375_SKIN	6	101216315	101220963	3	1.2602
A375_SKIN	6	101220964	103304564	1216	-0.2677
A375_SKIN	6	103304565	103305746	3	0.9428
A375_SKIN	6	103305747	103738369	281	-0.3201
A375_SKIN	6	103738370	103762055	37	0.1511
A375_SKIN	6	103762056	161891504	37593	-0.3458
A375_SKIN	6	161891505	162029755	127	-1.3827
A375_SKIN	6	162029756	167597758	4421	-0.3497
A375_SKIN	6	167597759	167598626	2	-2.4474
A375_SKIN	6	167598627	171051005	2128	-0.3957
A375_SKIN	7	43355	19642159	14002	0.1753
A375_SKIN	7	19642160	19648290	4	-1.3426
A375_SKIN	7	19648291	26137341	4871	0.1356
A375_SKIN	7	26137342	26146316	4	-3.6778
A375_SKIN	7	26146317	64594635	22851	0.1562
A375_SKIN	7	64594636	64616413	4	2.042
A375_SKIN	7	64616414	69500346	2571	0.0887
A375_SKIN	7	69500347	69514600	9	-0.6922
A375_SKIN	7	69514601	69602362	52	0.0924
A375_SKIN	7	69602363	69977653	206	-0.4948
A375_SKIN	7	69977654	70421844	317	0.0859
A375_SKIN	7	70421845	70427192	2	-2.0305
A375_SKIN	7	70427193	85793401	8576	0.1681
A375_SKIN	7	85793402	85800699	2	-2.7298
A375_SKIN	7	85800700	87581313	983	0.1277
A375_SKIN	7	87581314	87780465	123	-0.3415
A375_SKIN	7	87780466	105586931	10330	0.1488
A375_SKIN	7	105586932	105587897	4	-1.5398
A375_SKIN	7	105587898	110607262	3316	0.1678
A375_SKIN	7	110607263	110938703	216	-0.3349
A375_SKIN	7	110938704	119142146	4862	0.1658
A375_SKIN	7	119142147	119528557	214	-0.3748
A375_SKIN	7	119528558	126045228	3963	0.1601
A375_SKIN	7	126045229	126046878	15	0.9887
A375_SKIN	7	126046879	143218913	10929	0.1816
A375_SKIN	7	143218914	143403324	32	-0.6271
A375_SKIN	7	143403325	143444373	19	0.1898
A375_SKIN	7	143444374	143572226	51	-0.6759
A375_SKIN	7	143572227	143942595	279	0.262
A375_SKIN	7	143942596	143966132	8	-0.6283
A375_SKIN	7	143966133	151918356	4879	0.2756
A375_SKIN	7	151918357	152255526	117	1.0951
A375_SKIN	7	152255527	159127004	4723	0.246
A375_SKIN	8	31254	2251232	1651	-0.3936
A375_SKIN	8	2251233	2264843	12	0.5076
A375_SKIN	8	2264844	3996736	2115	-0.4085
A375_SKIN	8	3996737	4002484	16	-1.3835
A375_SKIN	8	4002485	4003384	10	-0.1908
A375_SKIN	8	4003385	4003519	2	-3.8389
A375_SKIN	8	4003520	4166581	362	-0.3718
A375_SKIN	8	4166582	4166735	2	-2.4264
A375_SKIN	8	4166736	7041596	3656	-0.3934
A375_SKIN	8	7041597	7244199	33	0.341
A375_SKIN	8	7244200	16202072	7039	-0.3629
A375_SKIN	8	16202073	16209603	8	0.5441
A375_SKIN	8	16209604	18796792	2314	-0.2958
A375_SKIN	8	18796793	18797897	3	-2.8232
A375_SKIN	8	18797898	20524558	1564	-0.31
A375_SKIN	8	20524559	20525590	2	-1.9542
A375_SKIN	8	20525591	20581890	55	-0.3885
A375_SKIN	8	20581891	20583320	2	-1.9065
A375_SKIN	8	20583321	21111113	453	-0.4265
A375_SKIN	8	21111114	21116141	4	-1.3946
A375_SKIN	8	21116142	23405024	1405	-0.3799
A375_SKIN	8	23405025	23407888	5	1.0981
A375_SKIN	8	23407889	39233131	10212	-0.3746
A375_SKIN	8	39233132	39387632	59	-2.807
A375_SKIN	8	39387633	40774924	1075	-0.3835
A375_SKIN	8	40774925	40781075	2	-2.0564
A375_SKIN	8	40781076	47671841	1771	-0.3586
A375_SKIN	8	47671842	58115912	6351	0.1355
A375_SKIN	8	58115913	58122926	3	-1.5659
A375_SKIN	8	58122927	118877697	36829	0.1569
A375_SKIN	8	118877698	119009982	82	-0.3662
A375_SKIN	8	119009983	136364562	12766	0.1492
A375_SKIN	8	136364563	137546542	881	-1.3923
A375_SKIN	8	137546543	143128774	4132	0.1325
A375_SKIN	8	143128775	143133689	3	-1.7918
A375_SKIN	8	143133690	146298155	1134	0.1251
A375_SKIN	9	46587	5080286	5248	0.4412
A375_SKIN	9	5080287	5081809	8	-0.6917
A375_SKIN	9	5081810	21970150	14270	0.4948
A375_SKIN	9	21970151	21983344	5	-0.8475
A375_SKIN	9	21983345	21999427	10	-4.6859
A375_SKIN	9	21999428	22005295	21	-1.7899
A375_SKIN	9	22005296	22104010	74	-4.7582
A375_SKIN	9	22104011	22110455	3	-1.2796
A375_SKIN	9	22110456	22497401	238	0.4939
A375_SKIN	9	22497402	22506019	2	-4.8082
A375_SKIN	9	22506020	23362460	579	0.4981
A375_SKIN	9	23362461	23372941	7	-2.8737
A375_SKIN	9	23372942	28369165	3808	0.485
A375_SKIN	9	28369166	28400952	26	-0.4077
A375_SKIN	9	28400953	29092823	508	0.1538
A375_SKIN	9	29092824	29096338	2	-1.6431
A375_SKIN	9	29096339	44238134	6643	0.1098
A375_SKIN	9	44238135	44396813	16	-0.3888
A375_SKIN	9	44396814	44839222	40	-1.1286
A375_SKIN	9	44839223	68185016	157	0.2354
A375_SKIN	9	68185017	68187199	5	-1.705
A375_SKIN	9	68187200	69506831	126	0.1751
A375_SKIN	9	69506832	69751508	25	0.7556
A375_SKIN	9	69751509	81374318	7628	0.1475
A375_SKIN	9	81374319	81376014	2	-1.11
A375_SKIN	9	81376015	116582518	24957	0.1111
A375_SKIN	9	116582519	116588324	2	-3.1813
A375_SKIN	9	116588325	120204022	2977	0.1252
A375_SKIN	9	120204023	120208222	2	-1.7921
A375_SKIN	9	120208223	131943174	7554	0.0765
A375_SKIN	9	131943175	131948503	2	-2.7488
A375_SKIN	9	131948504	134659203	1630	0.0662
A375_SKIN	9	134659204	134660999	2	-2.2925
A375_SKIN	9	134661000	139055147	2642	0.0361
A375_SKIN	9	139055148	139058999	3	-1.9823
A375_SKIN	9	139059000	141091394	708	0.067
A375_SKIN	10	72759	31251720	24298	-0.3983
A375_SKIN	10	31251721	31251800	3	0.6032
A375_SKIN	10	31251801	31457715	183	-0.3892
A375_SKIN	10	31457716	31460355	3	-2.2861
A375_SKIN	10	31460356	48696998	7736	-0.3662
A375_SKIN	10	48696999	49348399	36	0.1433
A375_SKIN	10	49348400	50868303	1228	-0.4764
A375_SKIN	10	50868304	50871981	4	-1.5629
A375_SKIN	10	50871982	51907183	220	-0.3388
A375_SKIN	10	51907184	51976300	3	-3.0666
A375_SKIN	10	51976301	53053445	774	-0.3961
A375_SKIN	10	53053446	53096594	33	-0.9727
A375_SKIN	10	53096595	71282479	12789	-0.3485
A375_SKIN	10	71282480	71287228	4	-2.3559
A375_SKIN	10	71287229	78947658	4768	-0.4068
A375_SKIN	10	78947659	81267299	1919	0.1592
A375_SKIN	10	81267300	81315155	2	-2.6383
A375_SKIN	10	81315156	81369473	5	-0.0796
A375_SKIN	10	81369474	81559080	19	0.6739
A375_SKIN	10	81559081	126581209	30701	0.1371
A375_SKIN	10	126581210	126582502	3	-1.2338
A375_SKIN	10	126582503	135506704	6356	0.1093
A375_SKIN	11	198510	18776606	12613	-0.347
A375_SKIN	11	18776607	18779518	2	-2.137
A375_SKIN	11	18779519	18944971	149	-0.3987
A375_SKIN	11	18944972	18961229	40	-0.7155
A375_SKIN	11	18961230	31078539	8969	-0.3136
A375_SKIN	11	31078540	50748975	12505	0.1715
A375_SKIN	11	50748976	51228107	28	0.6097
A375_SKIN	11	51228108	55376504	372	0.2082
A375_SKIN	11	55376505	55453292	50	-0.679
A375_SKIN	11	55453293	65483292	5453	0.1302
A375_SKIN	11	65483293	65662019	91	0.6369
A375_SKIN	11	65662020	107658538	27251	0.1679
A375_SKIN	11	107658539	107782943	73	-0.2913
A375_SKIN	11	107782944	107786405	2	-3.6949
A375_SKIN	11	107786406	112496789	2932	-0.3766
A375_SKIN	11	112496790	131848822	14278	0.171
A375_SKIN	11	131848823	131946959	75	0.6042
A375_SKIN	11	131946960	134944770	2292	0.2112
A375_SKIN	12	150442	867539	417	0.1624
A375_SKIN	12	867540	874691	18	-1.2175
A375_SKIN	12	874692	8352156	5118	0.0862
A375_SKIN	12	8352157	8386039	12	0.9617
A375_SKIN	12	8386040	8557590	56	0.2314
A375_SKIN	12	8557591	8558714	2	-2.6511
A375_SKIN	12	8558715	11221597	1654	0.1309
A375_SKIN	12	11221598	11246703	10	-0.9933
A375_SKIN	12	11246704	11511577	132	0.1027
A375_SKIN	12	11511578	11543396	30	0.8388
A375_SKIN	12	11543397	23415999	8105	0.1681
A375_SKIN	12	23416000	23738077	170	0.5424
A375_SKIN	12	23738078	23827073	77	-0.3125
A375_SKIN	12	23827074	23836789	11	0.6954
A375_SKIN	12	23836790	23870702	22	0.1795
A375_SKIN	12	23870703	23957216	59	-0.3782
A375_SKIN	12	23957217	92148215	41023	0.175
A375_SKIN	12	92148216	92151651	2	-1.2553
A375_SKIN	12	92151652	99793553	5384	0.1357
A375_SKIN	12	99793554	99803105	32	0.7224
A375_SKIN	12	99803106	133778189	22771	0.1036
A375_SKIN	13	19026949	32532096	9649	0.1487
A375_SKIN	13	32532097	32539235	19	-0.7909
A375_SKIN	13	32539236	32684614	89	0.1229
A375_SKIN	13	32684615	32871798	137	0.5092
A375_SKIN	13	32871799	54495910	14503	0.1541
A375_SKIN	13	54495911	54605690	69	-0.3996
A375_SKIN	13	54605691	55743838	685	0.1472
A375_SKIN	13	55743839	55784061	20	-1.137
A375_SKIN	13	55784062	57659470	921	0.1518
A375_SKIN	13	57659471	57690305	22	0.6397
A375_SKIN	13	57690306	57754683	27	0.2434
A375_SKIN	13	57754684	57784047	34	2.4654
A375_SKIN	13	57784048	66923812	5437	0.1743
A375_SKIN	13	66923813	67096162	120	-0.4157
A375_SKIN	13	67096163	70982125	2535	0.1849
A375_SKIN	13	70982126	71000070	19	-0.2898
A375_SKIN	13	71000071	72477271	894	0.1931
A375_SKIN	13	72477272	72479998	2	-2.8274
A375_SKIN	13	72479999	74716231	1662	0.184
A375_SKIN	13	74716232	74721708	5	-1.4135
A375_SKIN	13	74721709	75074025	290	0.1733
A375_SKIN	13	75074026	75079753	2	-1.2841
A375_SKIN	13	75079754	83652843	5647	0.1717
A375_SKIN	13	83652844	94841677	7003	0.5698
A375_SKIN	13	94841678	94894526	41	-0.3241
A375_SKIN	13	94894527	94970425	60	0.2059
A375_SKIN	13	94970426	94970650	2	-1.0523
A375_SKIN	13	94970651	96612488	1104	0.544
A375_SKIN	13	96612489	103912927	5153	0.1754
A375_SKIN	13	103912928	112226476	6778	0.5079
A375_SKIN	13	112226477	112227085	2	1.8451
A375_SKIN	13	112227086	115108397	1416	0.4613
A375_SKIN	14	19002124	19170728	17	-0.3094
A375_SKIN	14	19170729	20068736	57	0.3381
A375_SKIN	14	20068737	34670669	9476	-0.3689
A375_SKIN	14	34670670	34914255	192	0.1452
A375_SKIN	14	34914256	57822285	14358	-0.3623
A375_SKIN	14	57822286	57824495	3	-2.3376
A375_SKIN	14	57824496	61696943	2311	-0.3841
A375_SKIN	14	61696944	62200136	422	0.192
A375_SKIN	14	62200137	74006779	7503	-0.3959
A375_SKIN	14	74006780	74025439	7	-2.6756
A375_SKIN	14	74025440	83300965	6117	-0.3999
A375_SKIN	14	83300966	83303167	2	-2.2863
A375_SKIN	14	83303168	88480472	3486	-0.3403
A375_SKIN	14	88480473	88504798	16	-1.4578
A375_SKIN	14	88504799	98143740	6586	-0.4303
A375_SKIN	14	98143741	98146855	2	-2.4547
A375_SKIN	14	98146856	106208980	4476	-0.4287
A375_SKIN	14	106208981	106335773	63	0.3352
A375_SKIN	14	106335774	106342971	5	2.0555
A375_SKIN	14	106342972	106536678	59	0.4229
A375_SKIN	14	106536679	106564270	13	-1.5289
A375_SKIN	14	106564271	106716422	67	0.5282
A375_SKIN	14	106716423	106937168	134	0.1861
A375_SKIN	14	106937169	107160362	128	-0.2965
A375_SKIN	14	107160363	107177962	14	-1.2646
A375_SKIN	14	107177963	107285437	75	-0.4419
A375_SKIN	15	20016328	21946767	303	0.0098
A375_SKIN	15	21946768	22286519	7	-0.5005
A375_SKIN	15	22286520	22292125	2	-3.1071
A375_SKIN	15	22292126	34210591	7206	0.1471
A375_SKIN	15	34210592	34213805	2	-1.2377
A375_SKIN	15	34213806	34719803	296	0.1601
A375_SKIN	15	34719804	34824285	68	-2.58
A375_SKIN	15	34824286	34865809	7	-0.4726
A375_SKIN	15	34865810	45363809	6294	0.1642
A375_SKIN	15	45363810	45369186	2	2.2425
